Data_Hora,Risco_Percentual,Status_Postura,Status_EPI
2026-06-22 09:54:37,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:39,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:40,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:41,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:42,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:43,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:44,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:45,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:46,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:48,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:49,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:50,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:51,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:52,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:53,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:54,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:55,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:56,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:54:58,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:54:59,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:00,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:01,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:02,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:03,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:05,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:06,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:07,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:08,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:09,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:10,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:12,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:13,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:14,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:15,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:16,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:17,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:18,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:20,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:21,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:22,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:23,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:24,0,Sem dados,EPIs: C:0 V:0
2026-06-22 09:55:26,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:27,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:28,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:29,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 09:55:30,0,Análise Ativa,EPIs: C:0 V:0
2026-06-22 10:00:02,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:03,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:04,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:05,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:06,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:07,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:08,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:09,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:10,0,Sem dados,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:11,0,Análise Ativa,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:12,0,Análise Ativa,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:14,0,Análise Ativa,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:15,0,Análise Ativa,EPIs: Capacete[0] Colete[0]
2026-06-22 10:00:16,0,Análise Ativa,EPIs: Capacete[0] Colete[0]
